DESCRIPCIÓN	Sala	Vitrina / Pared	Clase	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad                 suya ?	Fecha de ingreso al museo	Descripción de ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	Lista de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos	Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase		
49 puntas líticas Primo forma:  				m01_s01_001_p	Puntas Líticas	Cazadores  y recolectores que vivieron entre los años 6000 a 7000 A.C.	1653 (396430750001)	Caza 	Museo Histórico Municipal de Arequipa	Vitrina: 40 cm	Vitrina: 58 cm	Vitrina: 40 cm	No definible	No aplicable	No definido	Conservado	Piedras: obsidiana, retinita, cuarzo blanco y cuarzo blanco, bafalto, entre otros.	"Sobre el objeto:  Piedras con forma alargada con un ápice terminal muy agudo.  Se encontraron cerca a la zona de Sumbay - Arequipa.
Puntas de base escotada, perenculada, romboidales y hojas de laurel.  Sobre el perìodo lìtico en Perù: Hacia el 10,000 a.C. el territorio andino peruano ya había sido ocupado, principalmente las zonas comprendidas entre el Callejón de Huaylas y la cuenca del lago Titicaca en la sierra y entre Moquegua y Piura en la costa. Gracias a la diversidad climàtica del Perù el hombre arcaico pudo recolectar los frutos de la naturaleza.  Los hombres de esta época habitaban en cuevas abandonadas hasta que el alimento en la zona se terminara.  Durante este periodo arcaico los hombres andinos solo vivían de la caza y recolección.
Al poblador del periodo arcaico se le conoce mayormente por las herramientas e instrumentos que fabricaron que por los restos encontrados en los diferentes estadios culturales. En la tradición serrana la industria lítica se compuso principalmente de puntas de proyectil con especiales características para la caza de grandes mamíferos: puntas con forma de hoja, triangulares o con espinas laterales. Por su tamaño y forma estas puntas debieron utilizarse en las lanzas o como dardos para la caza de tarucas y camélidos, principalmente guanacos. El área del Valle del Colca es la zona de mayor presencia de asentamientos del periodo Arcaico Medio al Tardío, con sitios de marcada recurrencia en todo el entorno de los pueblos de Achola hasta Callalli, destacando la intensa dispersión de instrumentos y desechos, elaborados con obsidiana de la zona."	Alrededor de los años 6000 a.C. 7000 años a.C.	p_01_01	Período Arcaico	Alrededor de los años 6000 a.C. - 7000 años a.C.	Alrededor de los años 6000 a.C. 7000 años a.C.	No aplicable	No aplicable	No aplicable	No aplicable	No aplicable	Donación	Escomel, Edmundo 	Objetos donados por el doctor Edmundo Escomel que, en nuestro medio destacó no solo como medico Psiquiatra, sino por su interés haciendo la arqueología, habiendo realizado un acopio de un apreciable número de objetos cerámicos, tejidos, huacos, entre otros de esa época, encontrados en  Arequipa y sus zonas próximas como Sumbay, Toro Muerto y otras zonas arqueologicas.	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas	VER LUEGO		m01_s01_001_p	"c_05/03_33
"	Herramientas y equipos para ciencia y tecnología	Armamento; armas afiladas; punta, lanza			. 
Vitrina cultura Nasca 2 objetos (Peine y cesto)	1	2																																											
Cesto Nasca	1	2		m01_s01_002	Cesto de la Cultura Nasca	Artesano Nasca	396430750002	Contenedor de objetos. Transporte y distribución de objetos.	Museo Histórico Municipal de Arequipa	4.5 cm	18.04 cm					Conservado	Vegetales	"Sobre la obra: Se observa hilos de color verde, amarillo y rojo. Técnica del enrollado. Sobre la cultura Nasca: Cultura peruana descubierta por el arqueólogo alemán Max Uhle en 1901, se localizó en el valle de río Grande en la provincia de Nasca, del departamento de Ica.  Las ""Líneas de Nazca"" son un legado de esta cultura que la hace reconocida mundialmente, datan del período intermedio temprano. Los Nasca son considerados los mejores pintores ceramista de américa prehispánica. En su  fina y destacada cerámica utilizaron 15 colores; aplicaron técnica del horror al vacío  que consistía en llenar de color toda la vasija y la técnica de precocción, pintando la cerámica y luego cociéndola al horno.
"	Alrededor de los años 500 a.C. - 700 d.C.	p_01_04	Período Intermedio temprano (John Rowe)	Alrededor de los años 200 a.C. - 600 d.C.	Alrededor de los años 200 a.C. - 600 d.C.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Escomel, Edmundo 	Objetos donados por el doctor Edmundo Escomel que, en nuestro medio destacó no solo como medico Psiquiatra, sino por su interés haciendo la arqueología, habiendo realizado un acopio de un apreciable número de objetos cerámicos, tejidos, huacos, entre otros de esa época, encontrados en  Arequipa y sus zonas próximas como Sumbay, Toro Muerto y otras zonas arqueologicas.	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_002	c_07/01_01; c_04/01_06;	Objetos personales; Herramientas y equipos para el procesamiento de materiales	Recipientes para cocinar-utensillos de cocina, equipo de almacenamiento de alimentos-cestas para almacenar alimentos, recipientes de servicio-cestas para comida, culturas prehispánicas, cultura Nasca.			
Peine Nasca	1	2		m01_s01_003	Peine de la Cultura Nasca	Artesano Nasca	No asignado	Objeto para asistencia personal.	Museo Histórico Municipal de Arequipa	No aplicable	4 cm	7 cm	No aplicable	No aplicable	No definido	Conservado	Confeccionado con vegetales y espinazo de pescado.	"Peine textil, ajuar Momia. Sobre la cultura Nasca: Cultura peruana descubierta por el arqueólogo alemán Max Uhle en 1901, se localizó en el valle de río Grande en la provincia de Nasca, del departamento de Ica.  Las ""Líneas de Nazca"" son un legado de esta cultura que la hace reconocida mundialmente, datan del período intermedio temprano. Los Nasca son considerados los mejores pintores ceramista de américa prehispánica. En su  fina y destacada cerámica utilizaron 15 colores; aplicaron técnica del horror al vacío  que consistía en llenar de color toda la vasija y la técnica de precocción, pintando la cerámica y luego cociéndola al horno."	Alrededor de los años 500 a.C. - 700 d.C.	p_01_04	Período Intermedio temprano (John Rowe)	Alrededor de los años 200 a.C. - 600 d.C.	Alrededor de los años 200 a.C. - 600 d.C.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Escomel, Edmundo 	Objetos donados por el doctor Edmundo Escomel que, en nuestro medio destacó no solo como medico Psiquiatra, sino por su interés haciendo la arqueología, habiendo realizado un acopio de un apreciable número de objetos cerámicos, tejidos, huacos, entre otros de esa época, encontrados en  Arequipa y sus zonas próximas como Sumbay, Toro Muerto y otras zonas arqueologicas.	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_003	c_03/04_02	Objetos personales	Artículos de tocador, objetos para el cuidado del cabello, culturas prehispánicas, cultura Nasca			
Vitrina Manto Plumario	1	3																																											
Manto Plumario Wari	1	3		m01_s01_004_p	Manto Plumario de la Cultura Wari	Artesano de la Cultura Wari	No asignado	Ritual, funerario	Museo Histórico Municipal de Arequipa		67 cm	206 cm	No aplicable	No aplicable	No definido	Conservado	Plumas de aves	Manto de diseño rectangular, dividido en cuatro.  Hecho con 2 colores de plumas: amarillo y turqueza.  En la parte superior del manto se encuentra una pequeña cinta la cual era utilizada para sujetar el manto al cuerpo del sacerdote.    La presencia de personajes míticos que tendrían relación con el vuelo  y los cielos determinan el valor ritual del arte plumario. Las aves y sus plumas estarían relacionadas con el poder divino. Sobre la Cultura Wari: Wari o Huari fue  una civilización andina que floreció en el centro de los Andes, aproximadamente desde el siglo VII hsta el XIII d.C. siendo su foco más importante la actual ciudad de Ayacucho. La cerámica Wari estuvo delicadamente realizada con bellos decorados de colores: naranja, blanco crema, negro y marrón,  aunque alguna no usó colores en su decoración.  Sus formas más características fueron los cántaros con cuello cilíndrico y algunos con figuras antropomorfas en alto relieve en el gollete.	Alrededor de los años 700 d.C. - 1000 d.C.	p_01_05	Período Horizonte medio (550 - 1000 d.c.)	Alrededor de los años 600 d.C. - 900 d.c.	Alrededor de los años 600 d.C. - 900 d.c.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Bernedo Málaga, Leonidas	Donado por Monseñor Leonidas Bernedo Málaga, destacado sacerdote arequipeño.  Fundador del Museo Arqueológico de la Universidad Nacional de San Agustín y miembro del Instituto Geográfico de Lima	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_004_p	c_08/03_01; c_08/03_06; c_08/02_14	Objetos de comunicación-expresión	Objetos ceremoniales, religiosos de las culturas prehispánicas, cultura Wari; Arte textil, tejidos con plumas, culturas prehispánicas, cultura Wari.			
																																													
Vitrina Cultura Wari 4 piezas	1	4																																											
Cántaro Wari fondo	1	4		m01_s01_005	Jarra de la Cultura Wari	Artesano wari	No asignado	Objeto utilitario usado  para almacenar, transportar o servir lìquidos, como chicha o agua	Museo Histórico Municipal de Arequipa	17 cm	18.6 cm	No aplicable	18.6	No definido	No definido	Conservado	Arcilla 	Cántaro - jarra monócroma con dos asas que van desde el vertedero hasta la panela. No presenta decoración.  Esta  vasija fue encontrada en el Fundo de Chorunga, provincia de Condesuyos - Arequipa.  Sobre la Cultura Wari: Wari o Huari fue  una civilización andina que floreció en el centro de los Andes, aproximadamente desde el siglo VII hsta el XIII d.C. siendo su foco más importante la actual ciudad de Ayacucho. La cerámica Wari estuvo delicadamente realizada con bellos decorados de colores: naranja, blanco crema, negro y marrón,  aunque alguna no usó colores en su decoración.  Sus formas más características fueron los cántaros con cuello cilíndrico y algunos con figuras antropomorfas en alto relieve en el gollete.	Alrededor de los años 700 d.C. - 1000 d.C.	p_01_05	Período Horizonte medio (550 - 1000 d.c.)	Alrededor de los años 600 d.C. - 900 d.c.	Alrededor de los años 600 d.C. - 900 d.c.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Bernedo Málaga, Leonidas	Donado por Monseñor Leonidas Bernedo Málaga, destacado sacerdote arequipeño.  Fundador del Museo Arqueológico de la Universidad Nacional de San Agustín y miembro del Instituto Geográfico de Lima	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_005_p	c_07/01_01; c_04/01_06; c_04/02_07	Objetos para manipulación y transporte de otros objetos; Herramientas y equipos para el procesamiento de materiales	Contenedores, recipientes, jarras, culturas prehispánicas, cultura Wari; Recipientes para cocinar-utensillos de cocina-equipo de almacenamiento de alimentos-vasijas para almacenar alimentos, culturas prehispánicas, cultura Wari; Herramientas y equipos para servir alimentos-bebidas-culturas prehispánicas-cultura Wari			
Cántaro Wari (Vasija Grande) derecha	1	4		m01_s01_006_p	Jarra  de la  Cultura Wari 	Artesano wari	No asignado	Objeto utilitario usado  para almacenar, transportar o servir lìquidos, como chicha o agua	Museo Histórico Municipal de Arequipa	15 cm	13.09 cm	No aplicable	No definido	No definido	No definido	Conservado	Arcilla	Sobre el objeto: Jarra monocroma con dos asas que van desde el vertedeto hasta la panela, no presenta ninguna decoración.  Cántaro monócromo con dos asas verticales en la panela y elevación alrededor del gollete. Esta  vasija fue encontrada en el Fundo de Chorunga, provincia de Condesuyos - Arequipa. Sobre la Cultura Wari: Wari o Huari fue  una civilización andina que floreció en el centro de los Andes, aproximadamente desde el siglo VII hsta el XIII d.C. siendo su foco más importante la actual ciudad de Ayacucho. La cerámica Wari estuvo delicadamente realizada con bellos decorados de colores: naranja, blanco crema, negro y marrón,  aunque alguna no usó colores en su decoración.  Sus formas más características fueron los cántaros con cuello cilíndrico y algunos con figuras antropomorfas en alto relieve en el gollete.	Alrededor de los años 700 d.C. - 1000 d.C.	p_01_05	Período Horizonte medio (550 - 1000 d.c.)	Alrededor de los años 600 d.C. - 900 d.c.	Alrededor de los años 600 d.C. - 900 d.c.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Bernedo Málaga, Leonidas	Donado por Monseñor Leonidas Bernedo Málaga, destacado sacerdote arequipeño.  Fundador del Museo Arqueológico de la Universidad Nacional de San Agustín y miembro del Instituto Geográfico de Lima	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_006	c_07/01_01; c_04/01_06; c_04/02_07	Objetos para manipulación y transporte de otros objetos; Herramientas y equipos para el procesamiento de materiales	Contenedores, recipientes, jarras, culturas prehispánicas, cultura Wari; Recipientes para cocinar-utensillos de cocina-equipo de almacenamiento de alimentos-vasijas para almacenar alimentos, culturas prehispánicas, cultura Wari; Herramientas y equipos para servir alimentos-bebidas-culturas prehispánicas-cultura Wari			
