N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto en centímetros	Dimensión: Ancho en centímetros	Dimensión: Largo en centímetros	Dimensión: Profundidad en centímetros	Peso	Estado actual del objeto	Material del objeto (tècnica usada)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte o Código de la Fecha	Comentario a la fecha de creación del objeto/obra de arte	Código Período	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	List de enlaces que describen la clase
																																														
																																														
																																														
	SALA 1 					SALA 1 																																								
6																																														
	Chomba Año 1550 				m02_s01_001_p	Chomba Año 1550 	Artesanos españoles	Probablemente	No asignado	"Recipiente para elaborar y conservar una bebida. Usualmente ""chicha"" bebida de maiz fermentado."	Museo  Convento La Recoleta	No registra	No registra	No registra	No registra	No registra	Regular estado de conservación	Arcilla	No aplica	"Esta tinaja es considerada una de las más antigua del Perú, con capacidad de 800 litros.  Según una investigación  fue traída del Valle de Vítor y probablemente fabricada por artesanos españoles, fundadores de Arequipa.  En la tinaje se encuentra un inscrito que señala: ""San Rafael año de 1550"",  fecha que aduciría a la creación del objeto.   Además se halla un grabado en madera con la técnica de pirograbado que reza: "" De la bodega al convento truecas, chomba tu destino hoy la paz ayer el vino,  y dando contentamiento calma la sed del sediento,  a los ojos que te ven cumples tu misión tan bien no hay nadie que te resista: ayer el gusto hoy la vista te dicen Salud– Amen""  (Padre Fermín Cebrecos). "	1550	NInguno	p_02_02	Colonial	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Patio de ingreso					m02_s01_001_p	c_07/01_01; c_04/01_06;                         c_04/01_04	Objetos para manipulación y transporte; Herramientos y equipos para procesamiento de alimentos	Contenedores; equipo de almacenamiento de alimentos, equipo de preparación de alimentos.	
	Cerámica Nasca Plato				m02_s01_002_x	Cerámica Nasca Plato	Artesano Nazca	Ninguno	No asignado	Recipiente para alimentos y probablemente para fines rituales o ceremoniales	Museo  Convento La Recoleta	12	19	No registra	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03	Plato con diseño geométrico con lineas de varios colores destacando el crema y el negro. Los pigmentos utilizados eran minerales extraídos de los desiertos de la región.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_002_x	c_04/02_07;                          c-08/03_01	Herramientas y equipos para servir alimentos; objetos ceremoniales de comunicación	Recipientes de servicio; objetos funerarios y ceremoniales	
5	Cerámica Nasca Vaso				m02_s01_003_x	Cerámica Nasca. Vaso	Artesano Nazca	Ninguno	No asignado	Objeto utilitario usado  para almacenar, transportar o servir  usualmente lìquidos; pudiendo ser usado tambièn para actos ceremoniales.	Museo  Convento La Recoleta	15	12	No registra	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03	Vaso representando ser antropomorfo, que representaría a un líder comunitario que adoptaba la apariencia de los ancestros, usando narigueras a manera de bigotes de felinos de las pampas. Destacan los colores blanco, crema, cafe, rojo, naranja y negro. Los pigmentos utilizados eran minerales extraídos de los desiertos de la región.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_003_x	c_04/02_01;                          c_08/03_01	Herramientas y equipos para servir alimentos; objetos ceremoniales de comunicación	Vasos para beber, objetos funerarios y ceremoniales	
	Cerámica Nasca Plato Geometrico				m02_s01_004_x	Cerámica Nasca. Plato geométrico	Artesano Nazca	Ninguno	No asignado	Recipiente para alimentos y probablemente para fines rituales o ceremoniales	Museo  Convento La Recoleta	12	23	No registra	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03	Plato hondo con decoración de motivos geométricos, incluyendo puntos y con alta calidad en el pulido. Destacan los colores: crema, naranja, negro y marrón.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_004_x	c_04/02_07;                          c-08/03_01	Herramientas y equipos para servir alimentos; objetos ceremoniales de comunicación	Recipientes de servicio; objetos funerarios y ceremoniales	
	Cerámica Nasca Kero Geometrico				m02_s01_005_x	Cerámica Nasca. Vaso con diseños geométricos	Artesano Nazca	Ninguno	No asignado	Objeto ceremonial	Museo  Convento La Recoleta	24	15	No registra	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03	Vaso  acampanulado con pedestal y  diseños de formas geométricas, con colores: blanco, negro, anaranjado y marrón.  Forma troncónica con boca más ancha que la base. 	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_005_x	c_04/02_01;                          c_08/03_01	Herramientas y equipos para servir alimentos; objetos ceremoniales de comunicación	Vasos para beber, objetos funerarios y ceremoniales	
