N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared		Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Comentario a la fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Descripción del ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase
						Este monasterio abre sus puertas como museo en el año 2005.  Sin embargo como monasterio abren sus puertas 23 noviembre 1710.   El teremoto del 2001 afectó diversas áreas del monasterio, siendo el propio tempo el más afectado.   																																											
6						"SALA 1: SALA DE INTERPRETACIÓN DE ARTE VIRREYNAL  (antiguamente funcionaba como ""La Portería del Monsterio"")"															En esta sala se nos muestra cuales fueron las técnicas utilizadas por los artistas del siglo XVII y XVIII e inicios del XIX en la elaboración de las piezas originales que veremos, en su gran mayoria de la Escuela Cusqueña de Arte y de la Escuela de Quito y otras piezas traidas de fuera del país.                                                         La antigua Portería es ahora la Sala de Interpretación del Arte Virreinal. Aquí tenemos 4 vitrinas didácticas, en las que se puede ver como se hacía la pintura mural sobre sillar, la manera como se pintaba y aplicaba el pan de oro en los antiguos lienzos, los pasos de la elaboración de las esculturas de maguey y tela encolada, y las técnicas para decorar muebles y otros objetos de madera. Los otros carteles informativos de la Sala, dan cuenta escrita de la tecnología utilizada para trabajar los metales preciosos y para edificar las casas e iglesias en la época virreinal. Una maqueta a escala nos muestra la zona del Monasterio que está habilitada como Museo, y que ocupa aproximadamente la cuarta parte de la propiedad del Monasterio, cuya extensión total es superior a una hectárea (10,000 mts2).																												
	Chomba Año 1550 				m04_s01_001_x	Técnica de Pintura Mural	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Temple sobre muro seco		En esta primera vitrina (de la pintura mural), vemos el muro de sillar, que es una piedra de origen volcánico, llamada también IGNIMBRITA, con la que están construidos la mayoría de edificios antiguos de Arequipa. Sobre esta piedra, que es muy porosa,  se realizaba la TÉCNICA DE LA PINTURA MURAL AL EN SECO.   La técnica consistía en rellenar las porosidades del sillar con una capa de cal y arena, para cubrir sus irregularidades, para luego poder pintarla.  Cuando esta capa estaba seca, se aplicaba otra base  (OJO ESTO DIJO LA GRABACIÓN pero lo de azul es lo que dice el documento guía - de tiza con clara de huevo) de cal, de tiza y cola animal, o en algunos casos yeso muerto, mezclado también con cola animal. Esto daba una superficie más suave, sobre la que una vez seca, el artista dibujaba, con trozos de carbón o con cartones perforados (técnica pictórica del estarcido), el dibujo general de lo que iba a pintar. Luego comenzaba a pintar con pigmentos naturales mezclados con cola animal o yema de huevo, poniendo todos los detalles que la composición requería. Es importante dejar claro, que en Arequipa nunca se pintó al fresco, sino al seco. La técnica empleada en toda la pintura mural de Arequipa, es la del temple sobre muro seco.             En una de las salas del museo podremos apreciar lo valioso del trabajo con esta técnica.        	Desconocida																							m04_s01_001_x	c_04/11_01	Herramientas y equipos para pintura	Herramientas y equipos para pintura	
	Cerámica Nasca Plato				m04_s01_002_x	Técnica del Pan de Oro	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oro laminado adherido al árbol de Armenia		la segunda vitrina, tenemos los pasos de la aplicación del pan de oro sobre los lienzos, que es una de las características más resaltantes de la pintura virreinal cusqueña. La mayoría de pinturas se pintaban sobre un lienzo de lino o algodón, tensado en un bastidor de madera. A esta tela se le aplicaban varias capas de tiza y cola animal, o ceniza y cola, hasta lograr una superficie lisa. Sobre esta superficie, el artista dibujaba con lápiz o carbón, el tema que iba a pintar, para luego proceder a ponerle color, que generalmente era con pintura al óleo, es decir, colores naturales mezclados con aceite, de lino, generalmente. Cuando el cuadro estaba listo y seco, se doraba usando como base el bol de Armenia, que es una arcilla muy fina, mezclada con cola animal, con la que “se dibujaba”, por ejemplo una hoja, y de inmediato se le acercaba una lámina de oro; la lámina de oro se pegaba a la superficie húmeda y adhesiva del diseño recién dibujado. Cuando las partes doradas habían secado, se eliminaba el excedente con un pincel, como el que se muestra en la vitrina, para obtener un buen acabado y quedaba el diseño dorado. Las láminas de oro son muy delgadas y frágiles, y son de oro de 24 quilates.                             	Desconocida																							m04_s01_002_x	c_04/11_01	Herramientas y equipos para pintura	Herramientas y equipos para pintura	
5	Cerámica Nasca Vaso				m04_s01_003_x	Técnica escultórica de maguey y tela encolada	No aplica	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información		Maguey y tela encolada		"En la tercera vitrina, tenemos la técnica empleada en la ejecución de la mayoría de imágenes en bulto que vemos en las iglesias. Ante la falta de madera en la zona andina, los artesanos locales resolvieron usar el maguey o agave, planta que es una ""cactácea"" proveniente del norte de américa, que antes de morir, produce un largo tronco en cuyo extremo superior salen flores. Este tronco, una vez seco y descortezado, tiene una madera muy ligera y blanda, con la que se hacía una estructura a manera de esqueleto; para los ensambles se usaban espinas del propio maguey u otra cactácea. En la vitrina se muestra un ejemplo del trozo de un tronco de maguey, cortado, secado y tallado. Sobre esta estructura, se ponía la vestimenta, hecha con tela, que se sumergía en una mezcla caliente de tiza y cola animal y se amoldaba a los pliegues y drapeados que le hacía el artesano. En este momento se colocaban las manos pies y cabezas, que podían ser de madera tallada, o moldeadas a mano con pasta moldeada, como en este caso, o plomo vaciado que se usaba en la escultura quiteña). Cuando la vestimenta estaba seca, se pintaban las encarnaciones con pintura al óleo, a la que se aplicaba la técnica del bruñido, que consistía en frotar la superficie recién pintada con una vejiga fresca de cordero, que produce un aceite natural. Este bruñido, daba como resultado una superficie de un brillo muy suave, similar al de la porcelana, que semejaba el brillo de la piel. Para finalizar, a la escultura se le confeccionaba una vestimenta con tela sin engomar, con la que se le vestía. "	No aplica																							m04_s01_003_x	c_04/17_01	Herramientas y equipos de trabajo en fibra	Herramientas y equipos de trabajo en fibra	
	Cerámica Nasca Plato Geometrico				m04_s01_004_x	San José	No aplica	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información		Maguey y tela encolada		Escultura de San José padre de Jesús. Patrón de la Orden Carmelita descalza de todo el mundo.  Se puede ver el brillo en las encarnaciones, rostro y manitos,  obtenido con la técnica mencionada. Tiene articulaciones movibles, por eso tiene vestimenta.  Se le reconoce por tener la flor de liz en la mano, símbolo de pureza.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_004_x	c_11/05_17_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en fibra vegetal (maguey) tema relligioso	
	Cerámica Nasca Kero Geometrico				m04_s01_005_x	Técnica de decoración de madera	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información		Madera tallada en dorado, esgrafiada. Punta de pincel		"En la última vitrina, tenemos una muestra de las técnicas decorativas usadas para adornar el mobiliario de madera. Si la pieza estaba destinada a ser dorada, se le aplicaban una serie de capas de tiza y cola animal para uniformizar la superficie, luego se ponía una capa de bol de Armenia, sobre el que se pegaban las láminas de pan de oro, las mismas que, una vez secas, se frotaban (bruñían) con piedra de ágata. Este frotado daba un especial brillo al oro y disimulaba la unión entre cada lámina de pan de oro. Otra técnica decorativa era el esgrafiado, consistente en pintar la superficie dorada, para luego “raspar” un determinado diseño, dejando a la vista el oro subyacente, dando el efecto de un brocado con hilos de oro. Otro tipo de decoración, era la de pintar con óleo un determinado diseño, en este caso flores, esta técnica se llama decoración a punta de pincel. En el caso de que el mueble fuese de color, en este caso verde, se le podía decorar con aplicaciones de pan de oro, con la misma técnica con la que se aplicaba el oro a un cuadro. Finalmente, tenemos la decoración con ""Pan de plata"" llamada también corladura o chineado, en la que las láminas de plata, eran generalmente cubiertas de lacas o barnices coloreados, con lo que se buscaba recrear visualmente el aspecto de los exóticos trabajos llegados de oriente, especialmente China.  La vitrina muestra un modelo pequeño con láminas de plata,   Sin embargo lo más tradicional en el Perú Virreinal fue la aplicación del ""Pan de Oro"", era muy caro traer las lacas de china."	Desconocida																							m04_s01_005_x	c_04/14_01	Herramientas y equipos para trabajos en madera	Herramientas y equipos para trabajos en madera	
	Cerámica Nasca Vaso Mitico o Religioso				m04_s01_006_x	Maqueta Convento Santa Teresa	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información				Esta maqueta ha sido trabajada a escala que nos muestra toda el área de exposición del museo, propiamente dicho.   El monasterio como tal cuenta con cuatro cláustros. 	Desconocida																							m04_s01_006_x	PREGUNTAR			
	Cerámica Nasca Plato Geometrico				m04_s01_007_x	Muerte de San José	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		" La iconografía de esta obra deriva de los capítulos XIII al XXIII del Evangelio apócrifo sobre la historia de José el carpintero. En ellos se narra que José, al conocer la proximidad de su muerte, pidió a Dios que enviara al arcángel Miguel para que lo acompañara hasta el momento en que su alma abandonara su cuerpo, (1) y en sus últimos momentos estuvo acompañado por Jesucristo, quien se colocó en la cabecera de la cama en que se encontraba el santo varón, y María a sus pies. (2) En el texto sahídico sobre este pasaje se añade que al momento de exhalar su espíritu, volaron sobre el cuerpo de José, Miguel, Gabriel y el coro de los ángeles venidos desde el cielo. (3) En esta escena aparecen, además de Jesucristo, María y José, el arcángel Miguel -que lleva con su mano izquierda la vara de almendro florida, atributo personal de san José y que alude al milagro del Templo en donde fue elegido para cuidar a la Virgen- y San Gabriel, que sostiene la vara de azucenas; según los textos anteriormente citados, estos ángeles fueron depositarios y guardianes del alma del santo). La acción, situada en un amplio espacio arquitectónico, se ve enriquecida por otros ángeles que llevan alimentos hasta la cama del moribundo y angelillos que sostienen un libro mientras que varios más abren el cortinaje que forma el dosel del lecho sobre el que aparece el Espíritu Santo.

                                          https://fundaciongoyaenaragon.es/obra/el-transito-de-san-jose/121; https://mediateca.inah.gob.mx/repositorio/islandora/object/pintura%3A2342"	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_007_x	c_11/02_04_01	Pinturas de arte fino	Óleos de Imágenes alegóricas religiosas	
	Cerámica Nasca Plato Ceremonial				m04_s01_008_x	Tránsito de la Virgen	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_008_x	c_11/02_04_01	Pinturas de arte fino	Óleos de Imágenes alegóricas religiosas	
